,Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,1/21/2020 22:00,1/22/2020 12:00,1/23/2020 12:00,1/24/2020 0:00,1/24/2020 12:00,1/25/2020 0:00,1/25/2020 12:00,1/25/2020 22:00,1/26/2020 11:00,1/26/2020 23:00,1/27/2020 9:00,1/27/2020 19:00,1/27/2020 20:30,1/28/2020 13:00,1/28/2020 18:00,1/28/2020 23:00,1/29/2020 13:30,1/29/2020 14:30,1/29/2020 21:00,1/30/2020 11:00,1/31/2020 14:00,1/31/2020 19:00,2/1/2020 10:00,2/2/2020 21:00,2/3/2020 21:00,2/4/2020 9:40,2/4/2020 22:00,2/5/2020 9:00,2/5/2020 23:00,2/6/2020 9:00,2/6/2020 14:20,2/7/2020 20:13,Population
0,Anhui,Mainland China,1/3/2020,31.825709999999997,117.2264,0,1,9,15,15,39,39,60,60,70,70,70,106,106,106,152,152,152,200,200,237,237,297,408,480,480,530,530,591,591,591,665,
1,Beijing,Mainland China,1/3/2020,40.18238,116.4142,10,14,22,26,36,36,41,51,68,68,72,80,80,91,91,91,111,111,111,114,139,139,168,191,212,212,228,253,274,274,274,297,
2,Chongqing,Mainland China,1/3/2020,30.05718,107.874,5,6,9,27,27,57,57,75,75,110,110,110,132,132,132,147,147,147,165,182,211,238,247,300,337,337,366,376,389,400,400,415,
3,Fujian,Mainland China,1/3/2020,26.07783,117.9895,0,1,5,5,10,10,18,18,35,35,56,59,59,80,80,82,84,84,101,101,120,120,144,159,179,179,194,205,215,215,215,224,
4,Gansu,Mainland China,1/3/2020,36.0611,103.8343,0,0,2,2,2,4,4,7,7,14,14,14,19,19,19,24,24,24,26,26,29,35,35,51,55,55,57,57,62,62,62,67,
5,Guangdong,Mainland China,1/3/2020,23.33841,113.42200000000001,17,26,32,53,53,78,78,98,111,146,151,151,151,207,207,241,277,277,311,354,436,436,535,683,725,797,870,895,944,970,970,1034,
6,Guangxi,Mainland China,1/3/2020,23.829079999999998,108.7881,0,2,5,13,23,23,23,33,36,46,46,46,51,51,51,58,58,58,78,78,87,88,100,127,139,139,150,150,168,168,168,172,
7,Guizhou,Mainland China,1/3/2020,26.81536,106.8748,0,1,3,3,3,4,4,5,5,7,7,7,9,9,9,9,9,9,12,12,29,29,29,46,56,56,64,64,69,71,71,81,
8,Hainan,Mainland China,1/3/2020,19.19673,109.7455,0,4,5,8,8,17,19,19,22,22,33,33,33,40,40,43,43,43,43,46,52,58,62,71,79,79,91,91,100,106,106,117,
9,Hebei,Mainland China,1/3/2020,38.0428,114.5149,0,1,1,2,2,8,8,13,13,18,18,18,33,33,33,48,48,48,65,65,82,96,96,113,126,126,135,135,157,157,157,172,
10,Heilongjiang,Mainland China,1/3/2020,47.861999999999995,127.7622,0,0,2,4,4,9,9,15,15,21,21,21,30,33,33,37,38,38,43,44,59,59,80,95,155,155,190,190,227,227,227,277,
11,Henan,Mainland China,1/3/2020,33.882020000000004,113.61399999999999,0,5,5,9,9,32,32,83,83,128,128,128,168,168,168,206,206,206,278,278,352,352,422,566,675,675,764,764,851,851,851,914,
12,Hubei,Mainland China,1/3/2020,30.975640000000002,112.2707,270,444,444,549,549,729,761,1052,1058,1423,1423,1423,2714,2714,3554,3554,3554,3554,4586,4903,5806,7153,7153,11177,13522,13522,16678,16678,19665,19665,19665,22112,
13,Hunan,Mainland China,1/3/2020,27.610409999999998,111.7088,1,4,9,24,24,43,43,69,69,100,100,100,100,143,143,221,221,221,277,277,332,332,389,521,521,593,661,661,711,711,711,772,
14,Inner Mongolia,Mainland China,1/3/2020,44.09448,113.9456,0,0,0,1,1,2,7,7,7,11,11,11,11,15,15,16,16,16,16,19,20,20,23,27,34,34,42,42,46,46,46,50,
15,Jiangsu,Mainland China,1/3/2020,32.97027,119.464,0,1,5,9,9,18,18,31,33,47,47,47,70,70,70,99,99,99,129,129,168,168,202,271,308,308,341,341,373,373,373,408,
16,Jiangxi,Mainland China,1/3/2020,27.614009999999997,115.7221,2,2,7,7,18,18,18,36,36,48,48,72,72,72,109,109,109,109,162,162,240,240,286,391,391,476,548,548,600,600,600,661,
17,Jilin,Mainland China,1/3/2020,43.66657,126.1917,0,0,1,3,3,4,4,4,4,6,6,6,6,8,8,9,9,9,14,14,14,14,17,31,42,42,54,54,59,59,59,65,
18,Liaoning,Mainland China,1/3/2020,41.292840000000005,122.6086,0,2,3,4,4,15,17,19,21,23,27,27,27,34,34,36,39,39,39,41,48,60,63,70,74,74,81,88,89,91,94,99,
19,Ningxia,Mainland China,1/3/2020,37.26923,106.1655,0,1,1,1,2,3,3,4,4,4,7,7,7,11,11,12,12,12,12,17,21,21,26,28,31,34,34,34,40,40,40,43,
20,Qinghai,Mainland China,1/3/2020,35.65945,96.02564,0,0,0,0,0,0,1,1,1,4,4,6,6,6,6,6,6,6,6,8,8,8,9,11,13,15,17,17,18,18,18,18,
21,Shaanxi,Mainland China,1/3/2020,35.19165,108.8701,0,0,3,3,5,5,15,15,22,22,35,35,35,46,46,56,56,56,56,63,87,87,101,116,128,142,165,165,173,173,173,184,
22,Shandong,Mainland China,1/3/2020,36.34377,118.1529,1,2,6,9,15,21,27,39,46,63,75,75,87,95,95,121,130,130,145,158,184,184,206,246,270,270,298,307,343,347,347,386,
23,Shanghai,Mainland China,1/3/2020,31.20327,121.4554,9,9,16,20,20,33,33,40,40,53,53,53,66,66,66,80,96,96,101,112,135,153,169,193,208,208,233,243,254,257,257,277,
24,Shanxi,Mainland China,1/3/2020,37.577690000000004,112.2922,0,1,1,1,1,6,6,9,9,13,13,13,20,20,27,27,27,27,35,35,39,47,47,66,74,74,81,81,90,90,90,96,
25,Sichuan,Mainland China,1/3/2020,30.617140000000003,102.7103,2,5,8,15,15,28,28,44,44,69,69,69,90,90,90,108,108,108,142,142,177,177,207,254,254,282,301,301,321,321,321,344,
26,Tianjin,Mainland China,1/3/2020,39.293620000000004,117.333,2,4,4,5,8,8,10,13,14,14,22,23,23,24,24,25,27,27,27,31,32,32,38,48,60,60,67,69,69,78,78,81,
27,Tibet,Mainland China,1/3/2020,30.1534,88.7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
28,Xinjiang,Mainland China,1/3/2020,41.11981,85.17822,0,0,2,2,2,3,3,4,4,5,5,5,5,10,10,13,13,13,14,14,17,17,18,24,24,29,32,32,36,36,36,39,
29,Yunnan,Mainland China,1/3/2020,24.97411,101.4868,1,1,2,2,5,5,11,11,16,19,26,26,26,44,44,44,55,55,55,70,83,83,91,105,117,117,122,124,128,133,133,138,
30,Zhejiang,Mainland China,1/3/2020,29.182509999999997,120.0985,5,10,27,43,43,62,62,104,104,128,128,128,173,173,173,296,296,296,428,428,538,537,599,724,724,829,895,895,954,954,954,1006,
31,Taiwan,Taiwan,1/21/2020,23.6978,120.9605,1,1,1,1,3,3,3,3,4,4,5,5,5,8,8,8,8,8,8,9,10,10,10,10,10,10,11,11,11,13,16,16,
32,"Seattle, WA",US,1/21/2020,47.7511,-120.74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
33,"Chicago, IL",US,1/24/2020,40.6331,-89.3985,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,
34,California,US,1/26/2020,36.7783,-119.41799999999999,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,6,6,6,6,6,6,6,
35,"Tempe, AZ",US,1/26/2020,34.0489,-111.094,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
36,Macau,Macau,1/22/2020,22.1987,113.5439,0,1,2,2,2,2,2,2,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,10,10,10,10,10,10,
37,Hong Kong,Hong Kong,1/23/2020,22.3193,114.1694,0,0,2,2,2,5,5,5,8,8,8,8,8,8,8,8,10,10,10,10,12,13,13,15,15,15,18,21,21,21,24,25,
38,"Toronto, ON",Canada,1/26/2020,43.6532,-79.3832,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,
39,British Columbia,Canada,1/28/2020,49.2827,-123.12100000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,
40,New South Wales,Australia,1/26/2020,-33.8688,151.2093,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
41,Victoria,Australia,1/26/2020,-37.8136,144.9631,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,
42,Queensland,Australia,1/27/2020,-27.4698,153.0251,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,5,
43,"London, ON",Canada,1/31/2020,42.9849,-81.2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
44,South Australia,Australia,2/1/2020,-34.9285,138.6007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,
45,"Boston, MA",US,2/2/2020,42.3601,-71.0589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
46,"Madison, WI",US,2/5/2020,43.0731,-89.4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
47,Cruise Ship,Others,2/7/2020,35.4437,129.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
